capability_id,component_type,component_name_ko,required_level,description_ko
CAP_OBJECT_DETECTION,HW,카메라 센서,required,영상 입력 장치
CAP_OBJECT_DETECTION,SW,객체 감지 모델,required,객체의 존재를 탐지하는 분석 모델
CAP_OBJECT_DETECTION,SW,객체 추적 모듈,optional,탐지된 객체를 연속적으로 추적
CAP_OBJECT_DETECTION,SW,알림 로직,optional,탐지 이벤트를 사용자에게 전달
CAP_OBJECT_DETECTION,SW,관심영역 설정 기능,optional,지정된 구역만 중점적으로 감지
CAP_PERSON_DETECTION,HW,카메라 센서,required,사람 탐지를 위한 시각 입력 장치
CAP_PERSON_DETECTION,SW,사람 탐지 모델,required,사람 객체를 탐지하는 분석 모델
CAP_PERSON_DETECTION,SW,추적 모듈,optional,탐지된 사람을 연속적으로 추적
CAP_PERSON_DETECTION,SW,감지 구역 설정,optional,사람 감지 구역을 설정
CAP_PERSON_DETECTION,SW,알림 로직,optional,사람 감지 이벤트를 알림
CAP_FACE_DETECTION,HW,카메라 센서,required,얼굴 입력 장치
CAP_FACE_DETECTION,SW,얼굴 검출 모델,required,얼굴의 존재와 위치를 검출
CAP_FACE_DETECTION,SW,얼굴 랜드마크 추출,optional,"눈, 코, 입 등 얼굴 특징점 추출"
CAP_FACE_DETECTION,SW,알림 로직,optional,얼굴 감지 이벤트를 알림
CAP_FACE_RECOGNITION,HW,카메라 센서,required,얼굴 입력 장치
CAP_FACE_RECOGNITION,SW,얼굴 검출 모델,required,얼굴 후보를 검출
CAP_FACE_RECOGNITION,SW,얼굴 인식/매칭 모듈,required,등록된 얼굴과 비교 또는 식별
CAP_FACE_RECOGNITION,SW,등록 기능,optional,사용자 얼굴 등록
CAP_FACE_RECOGNITION,SW,사용자 데이터베이스,optional,등록 사용자 정보 관리
CAP_FACE_RECOGNITION,SW,출입 제어 로직,optional,인식 결과를 출입 제어에 반영
CAP_SPEECH_RECOGNITION,HW,마이크,required,음성 입력 장치
CAP_SPEECH_RECOGNITION,SW,음성 인식 엔진(ASR),required,음성을 텍스트 또는 명령으로 변환
CAP_SPEECH_RECOGNITION,SW,호출어 감지,optional,특정 호출어를 인식
CAP_SPEECH_RECOGNITION,SW,명령 해석 모듈,optional,인식된 텍스트를 제어 명령으로 해석
CAP_SPEECH_RECOGNITION,SW,잡음 제거 모듈,optional,노이즈 환경에서 음성 품질 개선
CAP_SPEAKER_RECOGNITION,HW,마이크,required,화자 음성 입력 장치
CAP_SPEAKER_RECOGNITION,SW,화자 특징 추출 모듈,required,음성 특성 벡터 또는 보이스프린트 추출
CAP_SPEAKER_RECOGNITION,SW,화자 매칭 모듈,required,등록 화자와 비교 또는 인증
CAP_SPEAKER_RECOGNITION,SW,화자 등록 기능,optional,화자 정보 등록
CAP_SPEAKER_RECOGNITION,SW,사용자 데이터베이스,optional,등록 화자 정보 관리
CAP_ANOMALY_DETECTION,HW,상황 의존,required,"영상 기반이면 카메라, 센서 기반이면 해당 센서, 로그 기반이면 별도 HW 불필요"
CAP_ANOMALY_DETECTION,SW,이상 탐지 모델/판별 로직,required,비정상 상태나 이벤트를 탐지
CAP_ANOMALY_DETECTION,SW,정상 패턴 비교 로직,required,정상 기준과 비교하여 이상 여부 판단
CAP_ANOMALY_DETECTION,SW,이벤트 점수화,optional,이상 정도를 점수화
CAP_ANOMALY_DETECTION,SW,알림 로직,optional,이상 이벤트 발생 시 알림
CAP_ANOMALY_DETECTION,SW,이력 저장,optional,이상 이벤트 기록 저장
CAP_BEHAVIOR_ANALYSIS,HW,카메라 또는 동작 관련 센서,required,행동 분석을 위한 입력 장치
CAP_BEHAVIOR_ANALYSIS,SW,행동 인식 모듈,required,행동이나 자세를 인식
CAP_BEHAVIOR_ANALYSIS,SW,시간 흐름 분석 모듈,required,행동의 연속성과 시간 패턴 분석
CAP_BEHAVIOR_ANALYSIS,SW,추적 모듈,optional,대상 추적
CAP_BEHAVIOR_ANALYSIS,SW,이벤트 분류기,optional,행동 이벤트 유형 분류
CAP_BEHAVIOR_ANALYSIS,SW,시퀀스 모델링 모듈,optional,시간 순서 정보를 반영한 분석
CAP_RECOMMENDATION,HW,없음 또는 상황 의존,required,일반적으로 별도 HW는 필수가 아니나 상황에 따라 입력 장치가 필요할 수 있음
CAP_RECOMMENDATION,SW,추천 엔진,required,추천 후보를 생성
CAP_RECOMMENDATION,SW,순위화/점수화 로직,required,추천 우선순위를 계산
CAP_RECOMMENDATION,SW,사용자 프로필 모듈,optional,개인화 정보를 관리
CAP_RECOMMENDATION,SW,이력 추적 모듈,optional,사용자 이력을 반영
CAP_RECOMMENDATION,SW,상황 정보 모델링,optional,컨텍스트 정보를 반영
CAP_PATH_PLANNING_AVOIDANCE,HW,거리 센서 또는 카메라 또는 LiDAR,required,주변 환경과 장애물 인지
CAP_PATH_PLANNING_AVOIDANCE,HW,연산 장치,required,경로 계산 및 회피 판단 수행
CAP_PATH_PLANNING_AVOIDANCE,SW,경로 계획 알고리즘,required,이동 경로를 계산
CAP_PATH_PLANNING_AVOIDANCE,SW,장애물 탐지 및 회피 로직,required,장애물을 인지하고 회피 전략 수립
CAP_PATH_PLANNING_AVOIDANCE,SW,지도 생성 모듈,optional,주변 환경을 지도화
CAP_PATH_PLANNING_AVOIDANCE,SW,위치 추정 모듈,optional,현재 위치를 추정
CAP_PATH_PLANNING_AVOIDANCE,SW,SLAM 모듈,optional,동시적 위치추정 및 지도작성
CAP_AI_WASH_COURSE,HW,하중 및 오염도 센서,required,세탁물 상태 측정 장치
CAP_AI_WASH_COURSE,SW,세탁 조건 감지 모델,required,하중·오염도·소재를 분석하는 AI 모델
CAP_AI_WASH_COURSE,SW,코스 추천 알고리즘,required,감지 결과를 바탕으로 세탁 코스를 선택
CAP_AI_WASH_COURSE,SW,ThinQ 앱 연동,optional,스마트폰 앱과 연동하여 제어 및 모니터링
CAP_AI_WASH_COURSE,SW,사용 패턴 학습,optional,사용자 세탁 이력 기반 학습
CAP_LAUNDRY_DETECTION,HW,하중 센서,required,세탁물 무게 측정 장치
CAP_LAUNDRY_DETECTION,SW,세탁물 분석 모델,required,하중·소재·오염도를 복합 분석하는 AI 모델
CAP_LAUNDRY_DETECTION,SW,감지 결과 출력 로직,optional,감지 결과를 제어 시스템에 전달
CAP_ENERGY_OPTIMIZATION,HW,에너지 측정 모듈,required,전력 소비량 실시간 측정
CAP_ENERGY_OPTIMIZATION,SW,에너지 패턴 분석 모델,required,사용 패턴을 학습하여 최적 에너지 사용 계획 수립
CAP_ENERGY_OPTIMIZATION,SW,동적 절전 제어 로직,required,AI 판단 기반 실시간 에너지 조절
CAP_ENERGY_OPTIMIZATION,SW,사용 스케줄 최적화,optional,시간대별 에너지 사용 스케줄 자동 조정
CAP_SMART_HOME_CONTROL,HW,통신 모듈,required,Wi-Fi 또는 블루투스 등 네트워크 연결 장치
CAP_SMART_HOME_CONTROL,SW,ThinQ AI 플랫폼 연동,required,스마트홈 AI 플랫폼과 연결되는 소프트웨어
CAP_SMART_HOME_CONTROL,SW,AI 자동화 로직,required,사용 패턴 기반 자동 제어 및 제안 기능
CAP_SMART_HOME_CONTROL,SW,원격 제어 인터페이스,optional,스마트폰 앱을 통한 원격 조작
CAP_SMART_HOME_CONTROL,SW,기기 간 연동 로직,optional,다른 스마트홈 기기와 상호작용
CAP_AI_HW_FOUNDATION,HW,무선 통신 모듈,required,Wi-Fi나 블루투스 등 기기 간 연결 및 데이터 송수신을 위한 통신 장치
CAP_AI_HW_FOUNDATION,HW,스마트 제어 보드,required,AI 알고리즘 구동 및 센서 데이터 처리를 위한 메인 제어 장치
CAP_AI_HW_FOUNDATION,HW,데이터 수집 센서,optional,"비전, 음성, 환경 데이터 등을 수집하기 위한 입력 장치"
CAP_SMART_HVAC,SW,스마트 제어 알고리즘,optional,온도 및 기류 패턴을 분석하여 최적화하는 AI/제어 모델
CAP_AI_OBSTACLE_RECOGNITION,HW,비전 센서(카메라/ToF),required,사물 인식을 위한 비전 센서
