capability_id,required_fulfillment_weight,optional_fulfillment_weight,strong_pattern_weight,weak_pattern_weight,source_quality_weight,required_threshold_for_positive,max_optional_bonus,confusion_penalty,company_only_penalty,product_level_bonus,model_level_bonus,min_evidence_sources_for_high_confidence,note_ko
CAP_OBJECT_DETECTION,0.6,0.15,0.15,0.05,0.1,0.7,15,20,12,8,12,2,일반 기능형 capability 기본 규칙
CAP_PERSON_DETECTION,0.6,0.15,0.15,0.05,0.1,0.7,15,20,12,8,12,2,일반 기능형 capability 기본 규칙
CAP_FACE_DETECTION,0.6,0.15,0.15,0.05,0.1,0.7,15,20,12,8,12,2,기본 규칙
CAP_FACE_RECOGNITION,0.65,0.1,0.12,0.03,0.1,0.8,10,25,15,8,15,3,오인 가능성이 높거나 안전/식별에 민감하여 보수적으로 판정
CAP_SPEECH_RECOGNITION,0.6,0.15,0.15,0.05,0.1,0.7,15,20,12,8,12,2,일반 기능형 capability 기본 규칙
CAP_SPEAKER_RECOGNITION,0.65,0.1,0.12,0.03,0.1,0.8,10,25,15,8,15,3,오인 가능성이 높거나 안전/식별에 민감하여 보수적으로 판정
CAP_ANOMALY_DETECTION,0.65,0.1,0.12,0.03,0.1,0.8,10,25,15,8,15,3,오인 가능성이 높거나 안전/식별에 민감하여 보수적으로 판정
CAP_BEHAVIOR_ANALYSIS,0.65,0.1,0.12,0.03,0.1,0.8,10,25,15,8,15,3,오인 가능성이 높거나 안전/식별에 민감하여 보수적으로 판정
CAP_RECOMMENDATION,0.6,0.15,0.15,0.05,0.1,0.7,15,20,12,8,12,2,일반 기능형 capability 기본 규칙
CAP_PATH_PLANNING_AVOIDANCE,0.65,0.1,0.12,0.03,0.1,0.8,10,25,15,8,15,3,오인 가능성이 높거나 안전/식별에 민감하여 보수적으로 판정
CAP_AI_WASH_COURSE,0.6,0.15,0.15,0.05,0.1,0.7,15,20,12,8,12,2,가전 AI 세탁 코스 추천 기본 규칙
CAP_LAUNDRY_DETECTION,0.6,0.15,0.15,0.05,0.1,0.7,15,20,12,8,12,2,가전 AI 세탁물 감지 기본 규칙
CAP_ENERGY_OPTIMIZATION,0.6,0.15,0.15,0.05,0.1,0.7,15,20,12,8,12,2,가전 AI 에너지 최적화 기본 규칙
CAP_SMART_HOME_CONTROL,0.6,0.15,0.15,0.05,0.1,0.7,15,20,12,8,12,2,스마트홈 AI 제어 기본 규칙
CAP_DRY_COURSE,0.6,0.15,0.15,0.05,0.1,0.7,15,20,12,8,12,2,건조기 AI 코스 추천 스코어링
CAP_AIR_QUALITY_DETECTION,0.6,0.15,0.15,0.05,0.1,0.7,15,20,12,8,12,2,공기청정기 공기질 AI 감지 스코어링
CAP_DISPLAY_OPTIMIZATION,0.6,0.15,0.15,0.05,0.1,0.7,15,20,12,8,12,2,모니터 AI 화면 최적화 스코어링
CAP_DISHWASH_COURSE,0.6,0.15,0.15,0.05,0.1,0.7,15,20,12,8,12,2,식기세척기 AI 세척 코스 스코어링
CAP_COOKING_MODE,0.6,0.15,0.15,0.05,0.1,0.7,15,20,12,8,12,2,전자레인지 AI 조리 모드 스코어링
CAP_DUST_DETECTION,0.6,0.15,0.15,0.05,0.1,0.7,15,20,12,8,12,2,청소기 AI 먼지 감지 스코어링
CAP_AI_TYPING_ASSIST,0.65,0.1,0.12,0.03,0.1,0.8,10,25,15,8,15,3,키보드 AI 입력 보조 (오인 가능성 높아 임계값 높게 설정)
CAP_AI_HW_FOUNDATION,0.7,0.1,0.1,0.05,0.05,0.5,10,10,0,5,10,1,AI 구동을 위한 물리적 하드웨어 실체 중심 평가 (인증 데이터 존재 시 확실한 HES 점수 부여)
CAP_SMART_HVAC,0.0,2.0,0.0,0.0,0.1,0.1,20,0,0,10,15,1,스마트 공조 발견 시 보너스 점수 강력 부여
CAP_AI_OBSTACLE_RECOGNITION,0.6,0.15,0.15,0.05,0.1,0.7,15,20,12,12,15,2,사물 인식 로봇청소기
CAP_AI_SPATIAL_MAPPING,0.6,0.15,0.15,0.05,0.1,0.7,15,20,12,12,15,2,자율주행 공간 맵핑
CAP_AI_FLOOR_DETECTION,0.6,0.15,0.15,0.05,0.1,0.7,15,20,12,12,15,2,바닥/오염도 감지
