device_pattern_ko,component_name_ko,implication_strength,note_ko
공기청정기,공기질 센서(PM2.5·VOC·CO2),0.85,공기청정기는 정의상 공기질을 측정해야 동작한다
공기청정기,먼지 센서,0.75,미세먼지 감지가 공기청정기의 기본 기능이다
전기세탁기,하중 센서,0.80,현대 전기세탁기는 세탁물 하중 감지로 급수·행굼을 제어한다
전기세탁기,하중 및 오염도 센서,0.65,하중 감지는 확실하나 오염도 감지는 상위 모델에 한정될 수 있다
세탁기,하중 센서,0.80,전기세탁기와 동일 근거
전기건조기,습도 및 소재 센서,0.80,건조기는 잔여 습도 감지로 건조 종료를 판단한다
건조기,습도 및 소재 센서,0.75,전기건조기와 동일 근거이나 표기 편차를 고려해 소폭 낮춤
전기식기세척기,오염도 및 재질 센서,0.70,식기세척기의 자동 코스는 오염도 감지를 전제로 한다
식기세척기,오염도 및 재질 센서,0.70,전기식기세척기와 동일 근거
진공청소기,먼지 센서,0.65,흡입력 자동 조절 모델에 한정될 수 있어 보수적으로 부여
무선청소기,먼지 센서,0.65,진공청소기와 동일 근거
청소기,먼지 센서,0.60,표기 편차가 커서 가장 보수적으로 부여
전자레인지,무게·온도·습도 센서,0.65,자동 조리 기능은 중량·습도 감지를 전제로 한다
전기오븐기기,무게·온도·습도 센서,0.65,전자레인지와 동일 근거
전기오븐,무게·온도·습도 센서,0.65,전기오븐기기와 동일 근거
모니터,주변광 센서,0.55,주변광 센서는 상위 모델에 한정되므로 약한 근거로만 인정
LED TV,주변광 센서,0.60,화질 자동 조정을 위한 조도 감지가 일반화되어 있다
LED TV,통신 모듈,0.70,스마트 TV 기능을 위한 네트워크 연결이 일반화되어 있다
노트북 컴퓨터,마이크,0.85,노트북은 내장 마이크를 표준 탑재한다
노트북 컴퓨터,카메라 센서,0.80,노트북은 웹캠을 표준 탑재한다
노트북컴퓨터,마이크,0.85,표기 편차 대응
노트북컴퓨터,카메라 센서,0.80,표기 편차 대응
노트북,마이크,0.80,표기 편차 대응
노트북,카메라 센서,0.75,표기 편차 대응
퍼스널컴퓨터,연산 장치,0.85,컴퓨터는 정의상 연산 장치를 포함한다
데스크탑 컴퓨터,연산 장치,0.85,퍼스널컴퓨터와 동일 근거
키보드,고속 키 입력 처리 장치,0.90,키보드는 정의상 키 입력 처리 장치를 포함한다
CCTV CAMERA,카메라 센서,0.95,카메라 기기는 정의상 카메라 센서를 포함한다
CCTV 카메라,카메라 센서,0.95,표기 편차 대응
NETWORK CAMERA,카메라 센서,0.95,표기 편차 대응
보안용카메라,카메라 센서,0.95,표기 편차 대응
보안용 카메라,카메라 센서,0.95,표기 편차 대응
카메라,카메라 센서,0.90,일반 카메라 기기 표기 대응
특정소출력 무선기기,무선 통신 모듈,0.90,전파인증 대상이 무선 통신 기능 그 자체이다
특정소출력 무선기기,통신 모듈,0.90,무선 통신 모듈과 동일 근거
무선기기,무선 통신 모듈,0.85,표기 편차 대응
무선기기,통신 모듈,0.85,표기 편차 대응
무선설비,무선 통신 모듈,0.85,LTE·IMT 등 이동통신 무선설비 인증 대응
무선설비,통신 모듈,0.85,무선 통신 모듈과 동일 근거
무선랜,무선 통신 모듈,0.85,무선랜 접속시스템 인증 대응
에어컨,에너지 측정 모듈,0.55,소비전력 관리 기능이 일반화되어 있으나 측정 모듈 존재는 단정할 수 없다
냉방기,에너지 측정 모듈,0.55,에어컨과 동일 근거
제습기,습도 및 소재 센서,0.70,제습기는 정의상 습도를 측정한다
노트북 컴퓨터,무선 통신 모듈,0.80,국내 유통 노트북은 무선랜·블루투스를 표준 탑재하며 그것이 전파인증 사유다
노트북컴퓨터,무선 통신 모듈,0.80,표기 편차 대응
노트북,무선 통신 모듈,0.75,표기 편차 대응
노트북 컴퓨터,스마트 제어 보드,0.70,컴퓨터 메인보드는 프로그래머블 제어 보드에 해당한다
노트북컴퓨터,스마트 제어 보드,0.70,표기 편차 대응
퍼스널 컴퓨터,스마트 제어 보드,0.70,노트북 컴퓨터와 동일 근거
퍼스널컴퓨터,스마트 제어 보드,0.70,표기 편차 대응
데스크탑 컴퓨터,스마트 제어 보드,0.70,노트북 컴퓨터와 동일 근거
LED TV,스마트 제어 보드,0.60,스마트 TV는 SoC 기반 제어 보드를 탑재하나 단정 강도는 낮춘다
텔레비전수상기,스마트 제어 보드,0.60,LED TV와 동일 근거
공기청정기,데이터 수집 센서,0.70,자동 운전을 위해 공기질 데이터를 상시 수집한다
전기세탁기,데이터 수집 센서,0.65,자동 코스 운전을 위해 하중·수위 데이터를 수집한다
전기건조기,데이터 수집 센서,0.65,건조 종료 판단을 위해 습도 데이터를 수집한다
전기식기세척기,데이터 수집 센서,0.65,자동 코스 운전을 위해 오염도 데이터를 수집한다
전기냉장냉동기기,데이터 수집 센서,0.60,온도 제어를 위한 상시 센싱이 이루어진다
